student_id,"In your own words, what kinds of tasks would you use this model for?",How likely are you to use this model for academic tasks?,Which types of tasks do you feel this model handles best? (Select all that apply.),"Based on your experience, how often has this model given you a response that felt suboptimal?",For which types of tasks do you feel this model tends to give suboptimal responses? (Select all that apply.),"Think of one task where this model gave you a suboptimal response. What did the response look like, and why did you find it suboptimal?",How often do you expect this model to provide responses with references or supporting evidence?,How often do you verify this model's responses?,"When you verify a response from this model, how do you usually go about it?",label,pred
8,"This tool is a language processing tool. It can be used to write letters or reports, brain storm ideas. It can also be process images or documents. I can summarize a document. You can even ask it specific questions related to a document. Such as to extract relevant data from the document that one is interested in.",4 — Likely,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis",When i asked it to generate a image with five persons sometimes it generated with 6. It sometimes makes sign errors .,3 — Sometimes,4 — Often,I first ask it for references if it does not provide any. Sometimes is does not provide correct references. Then based on my needs and situation i fact check the relevant parts. If the answer involves any number or statistics i make doubly sure they are thoroughly checked as this tool often makes mistakes with numbers.,Claude,ChatGPT
8,I would use it to it summarize a document i received in an email. it can be used to generate ideas and create reports or compose a formal letter.,4 — Likely,"Writing or debugging code,Explaining complex concepts simply,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis",When asked to extract cost of a course from a website it did not account for the fact that the fees are paid for 2 years once each year and so it reported half the cost only.,3 — Sometimes,4 — Often,i fact check the sources it cites. But i often find that the sometimes the content if not from the sources it cites so i have to do additional fact checking by doing a search myself.,Gemini,ChatGPT
22,I have never used this model,1 — Not at all likely,,1 — Never,,I have never used this model,1 — Never,1 — Never,I have never used this model,Gemini,Claude
25,fixing code,2 — Unlikely,"Writing or debugging code,Data processing or analysis",3 — Sometimes,Writing or debugging code,the model delete all the code,2 — Rarely,4 — Often,run the code,Gemini,Claude
46,"Personally, I believe that [THIS MODEL] which works as a multipotent Artificial Intelligence Generating Model which allows us human to input specific sentence in order to generate something, but it seems that the function of generating images wasn't there. Therefore, although I don't really use [THIS MODEL] that frequent comparing to [ANOTHER MODEL], I will use it to generate a better version of essays/paragraphs which are considered zero-error in terms of grammar and vocabulary. Besides, I will use it to save much time researching the background information for a specific topic, however, the content that I'm searching shouldn't be to professional as [THIS MODEL]'s AIGC seems limited and non-expanding for me, it just provides the basis for a specific topic from what I can see. Lastly, the function of generating images seems to not have been created by [THIS MODEL], so eventually it will only be a tool for me to complete simple task.",3 — Neutral / Unsure,"Writing or debugging code,Writing or editing essays/reports,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",4 — Often,"Math computations,Data processing or analysis","One task where this model gave you a suboptimal response is the math computations. As a matter of fact, when I give them mathematical questions which are easy and direct, it will provide me with an accurate answer with explanation. But, when it comes to some questions which has achieved then university undergraduate level, their responses will be more of a narrative (tons of explanation) one. Why I considered this as a bad/suboptimal response? Because the answer were always unclear and it doesn't directly answer the questions the users had asked about. What they do is just taking professional terms (terminology-based) and generating it without knowing the knowledge and logic they're outputting is right or wrong, which is related to the inner core of AI, choosing words which has been used frequently for this kind of question.",4 — Often,4 — Often,"The same as [ANOTHER MODEL] to be honest. I will use my own professional knowledge to first comprehend the content and clarify the logic itself. If the content or logic doesn't match with the knowledge I have learned previously, I will search through the website and databases to verify whether my hypothesis/explanation matches with the statement provided by the authorized references.",Claude,ChatGPT
50,Researching purchases as it has a larger context window than [ANOTHER MODEL],2 — Unlikely,Brainstorming or generating creative ideas,2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis,Drafting professional text (e.g., emails, résumés)","It is far worse than other models at reasoning, so it often gets confused explain math",3 — Sometimes,4 — Often,It mostly messes up logic so I look at it a validate the logic myself which negates a lot of the point of using it for some thing,Claude,Gemini
52,"I usually used it for when I need to understand a complicated concept. The model can break it down or as I say, dumb it down for me. The model is also great for summarizing course notes and writing emails.",2 — Unlikely,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés)",3 — Sometimes,"Math computations,Writing or editing essays/reports","I asked the model to find me references list for this essay I was writing and it gave me a link to non-existing, fake readings.",2 — Rarely,5 — Very often,"For math or statistics tasks, I would do the calculation myself, asked a friend for feedback, and go to Office Hours. If it was coding related, I would trace the code, run it in my IDE, and test it with edge cases.",ChatGPT,Claude
52,Summarizing long documents,2 — Unlikely,Writing or editing essays/reports,2 — Rarely,"Drafting professional text (e.g., emails, résumés)","When I asked [THIS MODEL] to help debug a Python error trace involving NumPy, it gave me a very generalized explanation of possible causes. It listed several broad scenarios but didn’t directly point out the actual mistake in my code. It also avoided suggesting a concrete fix until I provided more clarifying context.",4 — Often,5 — Very often,"For math or statistics tasks, I would do the calculation myself, compare with course materials, or confirm in Office Hours. For coding, I would trace the code, run it in my IDE, and test edge cases to ensure the solution works. For factual or research-based questions, I would cross-check against lecture notes, textbooks, or other reliable sources, since [THIS MODEL] often summarizes without citing.",Claude,Gemini
52,"I’d use [THIS MODEL] for a mix of schoolwork and personal projects. It’s good for coding help and debugging, since I can test ideas and get explanations. I’d also use it for math or stats practice, and to summarize readings or lecture notes. On the creative side, I’d use it for brainstorming, writing drafts, or generating ideas. Overall, I’d turn to [THIS MODEL] when I want quick, clear help across different tasks.",2 — Unlikely,"Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis,Converting content between formats (e.g., LaTeX),Writing or editing essays/reports","One task where [THIS MODEL] gives a suboptimal response is detailed math problem-solving. When I asked it to show step-by-step work for a stats question, it skipped steps and jumped straight to the final answer. This was unhelpful because I needed to see the reasoning process to understand the method, not just the result.",2 — Rarely,5 — Very often,"I would verify [THIS MODEL]’s responses by checking them against reliable sources or testing them directly. For math or stats, I’d work through the calculations myself and compare with class notes or textbooks. For coding, I’d run the code in my IDE, trace it line by line, and test edge cases. For general factual answers, I’d cross-check with lecture slides, research articles, or trusted online sources to make sure the information is accurate.",Gemini,Claude
59,I would use [THIS MODEL] to get informations about random general knowledge information. Also I feel like this model is very good at explaining difficult scientific notions making them very simple and concrete.,3 — Neutral / Unsure,"Explaining complex concepts simply,Drafting professional text (e.g., emails, résumés),Brainstorming or generating creative ideas",2 — Rarely,"Math computations,Writing or debugging code,Data processing or analysis",I used [THIS MODEL] to help me prepare for my math tests. It was sometimes giving me very wrong answers. The worst part was when I asked him Logic answers. [THIS MODEL] simply cant proof things that are not already online. I found it suboptimal because it was giving wrong answers.,3 — Sometimes,2 — Rarely,I search an article or something like this online by myself.,ChatGPT,Gemini
